"廖啟智、陳錦鴻、蘇玉華、劉玉翠、
胡定欣、羅貫峰、蓋世寶、張智軒",大冬瓜,2009,1,古裝特技,潘嘉德,20
"馬國明、徐子珊、高鈞賢、唐　寧、
劉家輝、黃智賢、蔣志光、劉　江",幕後大老爺,2009,1,清裝懸疑,李添勝,20
"宣　萱、陳錦鴻、許紹雄、滕麗名、
唐詩詠、李思捷、呂　珊、王凱韋",老婆大人II,2009,1,時裝家庭,莊偉建,25
"馬浚偉、楊　怡、黃浩然、郭　峰、
譚小環、敖嘉年、陳山聰、蔣志光",碧血鹽梟,2009,1,清裝倫理,李添勝,25
"錢嘉樂、陳鍵鋒、蘇玉華、胡定欣、
黃淑儀、劉玉翠、李國麟、朱咪咪、
張國強、羅貫峰",王老虎搶親,2009,1,古裝喜劇,潘嘉德,21
"黃子華、佘詩曼、李綺虹、許紹雄、
謝天華、陳國邦、曹敏莉、張國強",絕代商驕,2009,1,時裝喜劇,張乾文,22
"李司棋、伍詠薇、陳法拉、鍾景輝、
洪天明、麥長青",有營煮婦,2009,1,時裝溫情,王心慰,30
"佘詩曼、楊　怡、陳　豪、鄭嘉穎、
米　雪、關菊英、李詩韻、韓馬利、
謝雪心、李國麟、田蕊妮、曹敏莉、
葉翠翠、蕭正楠、惠英紅、蔣志光、
程可為、張國強、林漪娸、呂　珊",宮心計,2009,1,古裝宮廷,梅小青,33
"吳卓羲、陳錦鴻、胡杏兒、楊思琦、
姜大偉、黃淑儀、胡定欣、阮兆祥、
吳家樂、黃智雯",巴不得爸爸...,2009,1,穿越喜劇,潘嘉德,21
"馬浚偉、鍾嘉欣、鄭則士、邵美琪、
黃浩然、唐詩詠、呂慧儀、李國麟、
蔣志光、程可為、郭　峰、林漪娸",老友狗狗,2009,1,時裝喜劇,梁材遠,20
"苗僑偉、周海媚、吳卓羲、陳鍵鋒、
謝天華、江若琳、梁嘉琪、林嘉華",學警狙擊,2009,2,時裝警匪,黃偉聲,30
"鄭少秋、周麗淇、鄧健泓、滕麗名、
郭政鴻、許紹雄、譚小環、袁偉豪",桌球天王,2009,2,時裝勵志,唐基明,20
"鄧萃雯、黎耀祥、吳卓羲、岳　華、
商天娥、謝雪心、惠英紅、胡定欣、
徐淑敏、敖嘉年、梁証嘉、李成昌",巾幗梟雄,2009,2,清裝恩仇,李添勝,25
"郭晉安、蒙嘉慧、鄧健泓、曹永廉、
姜大偉、梁靖琪、唐詩詠、陳國邦、
黃智賢、姚嘉妮、陳展鵬",ID精英,2009,2,時裝紀律,羅永賢,"27（香港首播）
30（原版）"
"王　喜、鄭嘉穎、黃宗澤、胡杏兒、
陳茵媺、姚子羚、陳展鵬、黃嘉樂",烈火雄心3,2009,2,時裝、紀律部隊,王心慰,32
"郭晉安、郭羨妮、胡定欣、蕭正楠、
郭政鴻、郭　峰、劉玉翠、羅敏莊、
阮小儀、陳美詩",古靈精探B,2009,2,時裝偵探,關永忠,25
